line 1119 column 1 - Warning: <table> lacks "summary" attribute
line 1121 column 164 - Warning: <img> proprietary attribute "srcset"
line 1121 column 164 - Warning: <img> proprietary attribute "data-file-width"
line 1121 column 164 - Warning: <img> proprietary attribute "data-file-height"
line 1129 column 1 - Warning: <table> lacks "summary" attribute
line 1131 column 177 - Warning: <img> proprietary attribute "srcset"
line 1131 column 177 - Warning: <img> proprietary attribute "data-file-width"
line 1131 column 177 - Warning: <img> proprietary attribute "data-file-height"
line 1139 column 1 - Warning: <table> lacks "summary" attribute
line 1141 column 189 - Warning: <img> proprietary attribute "srcset"
line 1141 column 189 - Warning: <img> proprietary attribute "data-file-width"
line 1141 column 189 - Warning: <img> proprietary attribute "data-file-height"
line 1149 column 1 - Warning: <table> lacks "summary" attribute
line 1151 column 154 - Warning: <img> proprietary attribute "srcset"
line 1151 column 154 - Warning: <img> proprietary attribute "data-file-width"
line 1151 column 154 - Warning: <img> proprietary attribute "data-file-height"
line 1161 column 1 - Warning: <table> lacks "summary" attribute
line 1163 column 192 - Warning: <img> proprietary attribute "srcset"
line 1163 column 192 - Warning: <img> proprietary attribute "data-file-width"
line 1163 column 192 - Warning: <img> proprietary attribute "data-file-height"
line 1171 column 1 - Warning: <table> lacks "summary" attribute
line 1173 column 141 - Warning: <img> proprietary attribute "srcset"
line 1173 column 141 - Warning: <img> proprietary attribute "data-file-width"
line 1173 column 141 - Warning: <img> proprietary attribute "data-file-height"
line 1181 column 1 - Warning: <table> lacks "summary" attribute
line 1183 column 146 - Warning: <img> proprietary attribute "srcset"
line 1183 column 146 - Warning: <img> proprietary attribute "data-file-width"
line 1183 column 146 - Warning: <img> proprietary attribute "data-file-height"
line 1191 column 1 - Warning: <table> lacks "summary" attribute
line 1193 column 172 - Warning: <img> proprietary attribute "srcset"
line 1193 column 172 - Warning: <img> proprietary attribute "data-file-width"
line 1193 column 172 - Warning: <img> proprietary attribute "data-file-height"
line 1203 column 1 - Warning: <table> lacks "summary" attribute
line 1205 column 203 - Warning: <img> proprietary attribute "srcset"
line 1205 column 203 - Warning: <img> proprietary attribute "data-file-width"
line 1205 column 203 - Warning: <img> proprietary attribute "data-file-height"
line 1213 column 1 - Warning: <table> lacks "summary" attribute
line 1215 column 215 - Warning: <img> proprietary attribute "srcset"
line 1215 column 215 - Warning: <img> proprietary attribute "data-file-width"
line 1215 column 215 - Warning: <img> proprietary attribute "data-file-height"
line 1223 column 1 - Warning: <table> lacks "summary" attribute
line 1225 column 241 - Warning: <img> proprietary attribute "srcset"
line 1225 column 241 - Warning: <img> proprietary attribute "data-file-width"
line 1225 column 241 - Warning: <img> proprietary attribute "data-file-height"
line 1233 column 1 - Warning: <table> lacks "summary" attribute
line 1235 column 175 - Warning: <img> proprietary attribute "srcset"
line 1235 column 175 - Warning: <img> proprietary attribute "data-file-width"
line 1235 column 175 - Warning: <img> proprietary attribute "data-file-height"
line 1245 column 1 - Warning: <table> lacks "summary" attribute
line 1247 column 197 - Warning: <img> proprietary attribute "srcset"
line 1247 column 197 - Warning: <img> proprietary attribute "data-file-width"
line 1247 column 197 - Warning: <img> proprietary attribute "data-file-height"
line 1255 column 1 - Warning: <table> lacks "summary" attribute
line 1257 column 137 - Warning: <img> proprietary attribute "srcset"
